"","species","logFC","p_value","logP"
"1884","Parolsenella massiliensis",1.05771576113809,0.733123840290448,0.134822657539008
"1885","Parolsenella catena",2.23832258822864,0.118885986692237,0.924869333446057
"1886","Lancefieldella parvula",0.202200073426668,0.808008852547047,0.0925838810678984
"1887","Leptogranulimonas caecicola",1.04723876063797,0.747648911857811,0.126302294431927
"1888","Parafannyhessea umbonata",2.11831534864089,0.719641592238252,0.142883744218145
"1889","Thermophilibacter immobilis",0.565637080027607,0.605695498642793,0.217745653878155
"1890","Atopobium sp. oral taxon 416",2.35785644264941,0.614203456603278,0.211687743771319
"1891","Eggerthella guodeyinii",-0.730870957981937,0.784664047226597,0.105316246012926
"1892","Eggerthella lenta",-0.57114325672276,0.165745513519532,0.780558218459122
"1893","Eggerthella sp. YY7918",-0.313709421029933,0.523224728072916,0.281311739049543
"1894","Gordonibacter pamelaeae",-0.130780724175118,0.891321786043081,0.0499654781477604
"1895","Gordonibacter urolithinfaciens",-0.256621720594397,0.771564438018576,0.112627797524024
"1896","Berryella wangjianweii",0.153892007774789,0.805915027822939,0.0937107459033308
"1897","Berryella intestinalis",0.321725365457926,0.688933060103651,0.161822974086458
"1898","Adlercreutzia hattorii",0.197336676689748,0.893057313502898,0.0491206686150142
"1899","Adlercreutzia equolifaciens",-0.242312642872299,0.802457162900968,0.0955781419913552
"1900","Arabiibacter massiliensis",-0.104622706517195,0.875240872510475,0.0578724095992093
"1901","Raoultibacter timonensis",-0.219667638143749,0.802457162900968,0.0955781419913552
"1902","Phoenicibacter congonensis",0.265382074052593,0.756112995292713,0.121413297666632
"1903","Denitrobacterium detoxificans",0.277192937200469,0.683099386858634,0.165516104482251
"1904","Slackia heliotrinireducens",-0.0836853414743575,0.887720709502285,0.0517236484111831
"1905","Cryptobacterium curtum",0.158957820125137,0.828265298751602,0.0818305335902359
"1906","Xiamenia xianingshaonis",0.125184456858095,0.846605893600861,0.0723187125340812
"1907","Euzebya pacifica",-0.0815286631191613,0.935028981112818,0.0291749280127033
"1908","Egicoccus halophilus",0.641574475788947,0.492437852701364,0.307648571119506
"1909","Egibacter rhizosphaerae",0.209483744393713,0.865155318224031,0.062905918208712
"1910","Aquihabitans sp. Kera 3",-0.150540386454765,0.908452573018177,0.0416977406885214
"1911","Aquihabitans sp. G128",-0.138369658661456,0.906967412293746,0.0424083170361081
"1912","Actinomarinicola tropica",0.0881990313823937,0.943396897933812,0.0253055561297945
"1913","Iamia sp. SCSIO 61187",0.210597176951266,0.874151252073197,0.0584134160411887
"1914","Ilumatobacter coccineus",0.333344493896103,0.847483367804754,0.0718688162416902
